Date / Time,CPU Usage %,Teperature C
2018-12-08 12:57:08,4.8,49.4
2018-12-08 12:57:11,6.1,49.4
2018-12-08 12:57:15,3.2,49.4
2018-12-08 12:57:19,7.8,49.9
2018-12-08 12:57:22,4.6,50.5
2018-12-08 12:57:26,2.4,50.5
2018-12-08 12:57:29,9.3,50.5
2018-12-08 12:57:33,6.7,50.5
2018-12-08 12:57:37,5.4,49.9
2018-12-08 12:57:41,1.8,50.5
2018-12-08 12:57:45,8.7,50.5
2018-12-08 12:57:49,4.2,50.5
2018-12-08 12:57:52,5.5,49.9
2018-12-08 12:57:56,8.9,49.9
2018-12-08 12:57:59,4.1,50.5
2018-12-08 12:58:04,4.9,49.9
2018-12-08 12:58:07,3.4,49.4
2018-12-08 12:58:11,10.9,50.5
2018-12-08 12:58:14,1.9,50.5
2018-12-08 12:58:18,5.1,51
2018-12-08 12:58:21,5.8,49.9
2018-12-08 12:58:25,9,49.9
2018-12-08 12:58:29,3.1,50.5
2018-12-08 12:58:33,3.5,50.5
2018-12-08 12:58:37,9.5,51
2018-12-08 12:58:40,2.1,49.4
2018-12-08 12:58:44,5.1,50.5
2018-12-08 12:58:47,5.4,50.5
2018-12-08 12:58:51,6.8,50.5
2018-12-08 12:58:54,2,50.5
2018-12-08 12:58:58,6.6,51
2018-12-08 12:59:02,7,50.5
2018-12-08 12:59:05,4.9,51.5
2018-12-08 12:59:09,2.4,51
2018-12-08 12:59:12,6.8,50.5
2018-12-08 12:59:16,7.5,50.5
2018-12-08 12:59:19,4.2,50.5
2018-12-08 12:59:23,5.6,51.5
2018-12-08 12:59:26,6.3,50.5
2018-12-08 12:59:30,8.6,51
2018-12-08 12:59:34,2.8,50.5
2018-12-08 12:59:37,8.1,51
2018-12-08 12:59:41,6.5,50.5
2018-12-08 12:59:45,5.9,51
2018-12-08 12:59:49,1.9,51.5
2018-12-08 12:59:52,12.5,51.5
2018-12-08 12:59:56,4.3,50.5
2018-12-08 12:59:59,5.6,50.5
2018-12-08 13:00:03,5.1,51
2018-12-08 13:00:07,7.6,51
2018-12-08 13:00:10,4.9,50.5
2018-12-08 13:00:14,1.9,50.5
2018-12-08 13:00:17,9.9,51.5
2018-12-08 13:00:21,2.5,51.5
2018-12-08 13:00:24,7.4,51
2018-12-08 13:00:28,3.7,50.5
2018-12-08 13:00:31,9.2,51.5
2018-12-08 13:00:35,1.9,51.5
2018-12-08 13:00:39,4.4,51.5
2018-12-08 13:00:42,5.2,50.5
2018-12-08 13:00:47,5.2,50.5
2018-12-08 13:00:50,5.4,51.5
2018-12-08 13:00:54,3,51.5
2018-12-08 13:00:57,10.6,51
2018-12-08 13:01:01,1.9,50.5
2018-12-08 13:01:05,5.3,51
2018-12-08 13:01:08,8,51.5
2018-12-08 13:01:12,6.9,51.5
2018-12-08 13:01:15,1.9,51.5
2018-12-08 13:01:19,6.9,51.5
2018-12-08 13:01:23,6.7,51.5
2018-12-08 13:01:26,3.7,51.5
2018-12-08 13:01:30,2.6,51
2018-12-08 13:01:34,7.5,51.5
2018-12-08 13:01:38,6.2,51.5
2018-12-08 13:01:41,3.9,51.5
2018-12-08 13:01:45,5.6,51.5
2018-12-08 13:01:48,8.5,51.5
2018-12-08 13:01:52,6.6,51.5
2018-12-08 13:01:55,1.8,51.5
2018-12-08 13:01:59,7.7,51.5
2018-12-08 13:02:03,6.1,51
2018-12-08 13:02:06,7.3,51.5
2018-12-08 13:02:10,2,51.5
2018-12-08 13:02:13,13.6,52.1
2018-12-08 13:02:16,4.3,51.5
2018-12-08 13:02:20,4.6,51.5
2018-12-08 13:02:24,3.3,51.5
2018-12-08 13:02:27,9.4,52.6
2018-12-08 13:02:31,4.4,51.5
2018-12-08 13:02:35,3.5,52.1
2018-12-08 13:02:38,10.3,51.5
2018-12-08 13:02:42,2.4,52.1
2018-12-08 13:02:46,8.1,51.5
2018-12-08 13:02:49,4.6,51.5
2018-12-08 13:02:52,12.4,51.5
2018-12-08 13:02:56,3.6,51
2018-12-08 13:02:59,5.7,51.5
2018-12-08 13:03:03,4.7,51.5
2018-12-08 13:03:07,6.3,51.5
2018-12-08 13:03:10,2.1,51.5
2018-12-08 13:03:14,5.4,51
2018-12-08 13:03:17,7,52.1
2018-12-08 13:03:20,7.1,51.5
2018-12-08 13:03:24,1.9,51.5
2018-12-08 13:03:27,6,51.5
2018-12-08 13:03:31,6.4,52.1
2018-12-08 13:03:35,4.9,51.5
2018-12-08 13:03:39,5.5,51.5
2018-12-08 13:03:42,8.3,52.1
2018-12-08 13:03:46,7.2,51.5
2018-12-08 13:03:49,3.3,51.5
